e_T,perf_T,conf_T,e_total,perf_total,conf_total,e_norm,perf_norm,conf_norm,e_unnorm,perf_unnorm,conf_unnorm,e_furl,perf_furl,conf_furl
0.996364533,0.42,0.135574271,0.583384465,0.4,-0.31839412,0,0.42,0.135574271,0,0.42,0.135574271,0,0.42,0.135574271
0.996364533,0.38,-0.073949602,0.765015505,0.46,-0.317572458,0,0.38,-0.073949602,0,0.38,-0.073949602,0,0.38,-0.073949602
0.996364533,0.44,0.05135389,1.790088167,0.48,0.011914103,0,0.44,0.05135389,0,0.44,0.05135389,0,0.44,0.05135389
0.996364533,0.5,-0.112978559,2.531527722,0.4,0.624052476,0,0.5,-0.112978559,0,0.5,-0.112978559,0,0.5,-0.112978559
0.859831617,0.28,-0.130013935,0.448423869,0.48,0.295486215,-0.135060087,0.4,-0.177291729,0.174504572,0.4,-0.147743108,-7.364979838,0.5,-0.044322932
1.152787777,0.4,0.271847318,1.343156401,0.42,-0.248208421,0.255276238,0.58,0.153652832,0.473806352,0.46,0.053187519,-1.293509481,0.56,-0.056142381
1.582174784,0.58,-0.156607694,1.847633254,0.46,0.12410421,0.483886689,0.4,-0.047277794,0.833391531,0.56,0.038413208,-0.38367359,0.54,0.088645865
2.017907412,0.78,0.014774311,2.600646921,0.68,-0.171382005,2.304772714,0.66,0.070916692,1.350559625,0.62,0.056142381,2.349436556,0.44,0.011819449
0.362774505,0.48,-0.73803107,-0.11142875,0.58,-0.702689515,-0.814695513,0.64,-0.521564044,0.187157026,0.44,-0.718151445,-10.83036211,0.82,0.459164111
1.100584284,0.84,-0.665139112,0.881693504,0.74,-0.657408147,0.582934608,0.72,0.045005262,0.78973774,0.92,-0.453089781,-2.929573704,0.94,0.527638374
1.96172297,0.86,0.255950169,2.03059964,0.84,0.202937836,0.810906202,0.96,0.199624565,1.453982907,0.82,-0.035617661,-1.143009373,0.72,-0.511624232
3.271822151,0.96,1.147220013,3.355844477,0.98,1.157159825,4.182316527,0.82,0.276934217,2.821419212,0.96,1.206858887,1.246707817,0.66,-0.475178253
0.568324665,0.84,-0.692624182,-0.226144092,1,-0.516167068,-0.500241416,0.54,-0.58819038,0.085121653,0.62,-0.577386883,-30.29515385,0.96,0.308499852
0.973605369,0.38,-0.66141408,1.228546836,0.74,-0.366118502,0.202333873,0.72,-0.459748807,0.444665349,0.6,-0.828268086,-1.669080671,0.86,0.177657502
1.650767172,1,0.283291693,1.840914545,0.48,-0.124840407,0.498837531,0.96,0.561781832,1.063385421,1,0.34331112,-0.236276501,0.76,-0.573785717
2.119571498,1,1.070746569,2.857292486,1,1.007125977,1.710482286,1,0.486157355,1.565222029,1,1.062343849,8.36418798,0.64,0.087628363
0.921182501,0.82,-0.019552408,0.713307257,0.7,0.04958944,0.065118624,0.76,-0.016718726,0.062174167,0.76,0.1328997,-14.47658082,0.64,-0.126665599
1.304401456,0.5,0.110230242,1.327889474,0.74,0.068291744,0.208895652,0.5,0.075659318,0.371537747,0.6,0.058657224,-0.543472255,0.56,0.110230242
1.453619456,0.52,-0.106829823,1.911949828,0.54,-0.268349715,0.375940194,0.66,-0.256448249,0.550523985,0.54,0.043355339,-0.124913257,0.78,0.218476906
1.954027294,0.68,0.016151989,2.680648615,0.54,0.150468531,0.715399157,0.6,0.197507657,1.129685767,0.62,-0.234912264,4.940888,0.54,-0.202041549
0.54313693,0.52,-0.126452376,-0.55558706,0.5,-0.065755236,-1.706666667,0.42,-0.217498087,0,0.4,-0.035406665,-4.996363636,0.8,-0.085987616
1.593616664,0.44,-0.268079037,1.013129344,0.76,-0.136568566,0.040119255,0.34,0.207381897,0.154070361,0.36,0.136568566,-1.143455441,0.5,-0.247846657
1.672986244,0.44,0.500751409,2.530488961,0.42,0.136568566,0.379423641,0.54,0.106219996,0.747007811,0.56,-0.015174285,-0.240198035,0.36,0.015174285
1.883082191,0.66,-0.106219996,3.160776802,0.38,0.065755236,3.827555556,0.76,-0.096103806,2.175660251,0.74,-0.085987616,0.0192,0.4,0.318659987
0.984654528,0.6,-0.290970516,0.87475723,0.68,-0.17494489,0.011724402,0.54,-0.247460906,0.106107736,0.5,-0.359860731,-1.966462704,0.66,0.245648006
1.3465577,0.66,-0.055293463,1.433086033,0.72,-0.035351558,0.186278252,0.6,-0.019035454,0.360639984,0.68,0.2202674,-0.673644181,0.74,0.151377184
1.495613806,0.7,0.17494489,1.944676904,0.68,0.142312682,0.325412121,0.72,0.151377184,0.502116966,0.78,-0.002719351,-0.311789789,0.7,-0.147751383
1.781725738,0.68,0.171319089,2.79985473,0.56,0.067983765,0.629367417,0.78,0.115119176,0.891178666,0.68,0.142312682,0.549107275,0.54,-0.249273806
